=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.01.22 17:28:28 =~=~=~=~=~=~=~=~=~=~=~=
, 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: -0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.14V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.17V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.12A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.39V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
